city,lat,cloudiness,country,date,humidity,lng,max_temp,wind_speed
Pangnirtung,66.15,0,CA,1561849605,46,-65.72,44.05,6.02
Eresos,39.17,0,GR,1561849845,64,25.93,72.46,20.56
Riyadh,24.63,0,SA,1561849622,9,46.72,93.2,4.14
Tsagan Aman,47.57,100,RU,1561849849,49,46.72,69.9,5.88
Kenora,49.76,90,CA,1561849850,39,-94.48,78.8,9.17
Vrangel,42.73,100,RU,1561849613,99,133.08,53.54,3.38
Whitehorse,60.72,75,CA,1561849853,39,-135.06,79.0,4.7
Sioux Falls,43.55,1,US,1561849623,41,-96.7,95.0,8.05
Bundaberg,-24.87,75,AU,1561849671,93,152.35,70.0,4.7
Zhuhai,40.71,0,CN,1561849611,71,112.04,53.6,2.24
Druzhba,52.05,22,UA,1561849857,91,33.94,47.42,8.08
Waingapu,-9.65,97,ID,1561849859,76,120.26,72.44,13.13
Tangier,51.02,10,GB,1561849860,87,-3.11,61.0,6.93
Miri,10.31,35,NG,1561849861,77,9.75,75.48,3.33
Bazarnyye Mataki,54.9,75,RU,1561849863,92,49.93,49.83,7.11
Parit Buntar,5.13,75,MY,1561849864,88,100.49,82.4,2.24
Sechura,-5.56,99,PE,1561849583,85,-80.82,65.71,13.2
Lavrentiya,65.58,100,RU,1561849866,94,-170.99,44.95,7.29
Southbridge,42.08,75,US,1561849825,61,-72.03,82.99,3.31
Pilar,-34.46,90,AR,1561849870,100,-58.91,55.4,5.82
Yarada,17.65,100,IN,1561849600,76,83.27,82.41,19.3
Voh,-20.95,0,NC,1561849568,76,164.69,71.97,14.76
Esmeralda,-34.33,75,CL,1561849874,81,-70.9,50.0,6.93
Kautokeino,69.01,49,NO,1561849875,75,23.04,36.55,13.6
Ternate,14.29,90,PH,1561849877,83,120.72,81.0,3.36
